publication_number,cosine_distance,cosine_similarity
JP-S4919811-Y1,0.0,1.0
JP-S4817169-Y1,0.0,1.0
JP-S4949383-B1,0.0,1.0
JP-S4835357-Y1,0.0,1.0
JP-S493222-B1,0.0,1.0
JP-S501807-B1,0.0,1.0
JP-S4823415-Y1,0.0,1.0
JP-S4910951-Y1,0.0,1.0
JP-S498142-B1,0.0,1.0
JP-S4915340-B1,0.0,1.0
JP-S5018754-B1,0.0,1.0
JP-S509580-Y1,0.0,1.0
JP-S4835504-B1,0.0,1.0
JP-S5029519-Y1,0.0,1.0
JP-S4940512-B1,0.0,1.0
JP-S503438-B1,0.0,1.0
JP-S5022030-B1,0.0,1.0
JP-S4820504-B1,0.0,1.0
JP-S507162-B1,0.0,1.0
JP-S4820603-Y1,0.0,1.0
JP-S4915606-B1,0.0,1.0
JP-S491750-Y1,0.0,1.0
JP-S4732000-B1,0.0,1.0
JP-S495517-B1,0.0,1.0
JP-S4929519-Y1,0.0,1.0
JP-S4629929-Y1,0.0,1.0
JP-S4914166-Y1,0.0,1.0
JP-S4833899-Y1,0.0,1.0
JP-S4917203-Y1,0.0,1.0
JP-S4731033-Y1,0.0,1.0
JP-S482388-Y1,0.0,1.0
JP-S4729098-Y1,0.0,1.0
JP-S4740404-Y1,0.0,1.0
JP-S4832474-Y1,0.0,1.0
JP-S5010904-B1,0.0,1.0
JP-S4935321-Y1,0.0,1.0
JP-S5010269-Y1,0.0,1.0
JP-S4617793-Y1,0.0,1.0
JP-S5023657-Y1,0.0,1.0
JP-S4733449-Y1,0.0,1.0
JP-S497302-B1,0.0,1.0
JP-S509650-B1,0.0,1.0
JP-S502558-B1,0.0,1.0
JP-S5462-Y1,0.0,1.0
JP-S5029505-Y1,0.0,1.0
JP-S5322895-Y1,0.0,1.0
JP-S4925515-B1,0.0,1.0
JP-S4944093-B1,0.0,1.0
JP-S513483-Y1,0.0,1.0
JP-S4824152-B1,0.0,1.0
JP-S4931296-B1,0.0,1.0
JP-S491527-Y1,0.0,1.0
JP-S4941916-B1,0.0,1.0
JP-S4913397-Y1,0.0,1.0
JP-S4812234-B1,0.0,1.0
JP-S4827754-B1,0.0,1.0
JP-S495688-Y1,0.0,1.0
JP-S4737585-Y1,0.0,1.0
JP-S4829839-B1,0.0,1.0
JP-S5128902-Y1,0.0,1.0
JP-S4923217-B1,0.0,1.0
JP-S5022009-B1,0.0,1.0
JP-S4912967-B1,0.0,1.0
JP-S4815855-B1,0.0,1.0
JP-S5036882-Y1,0.0,1.0
JP-S487159-Y1,0.0,1.0
JP-S5024052-B1,0.0,1.0
JP-S4836075-Y1,0.0,1.0
JP-S5022047-B1,0.0,1.0
JP-S4833840-B1,0.0,1.0
JP-S4915737-B1,0.0,1.0
JP-S5152011-Y1,0.0,1.0
JP-S5010634-Y1,0.0,1.0
JP-S4812076-B1,0.0,1.0
JP-S5131934-B1,0.0,1.0
JP-S546023-Y1,0.0,1.0
JP-S4932124-Y1,0.0,1.0
JP-S5126804-B1,0.0,1.0
JP-S4921916-B1,0.0,1.0
JP-S4820206-B1,0.0,1.0
JP-S4827042-B1,0.0,1.0
JP-S4716550-Y1,0.0,1.0
JP-S4939554-B1,0.0,1.0
JP-S499568-B1,0.0,1.0
JP-S4820686-B1,0.0,1.0
JP-S491698-Y1,0.0,1.0
JP-S4833824-B1,0.0,1.0
JP-S5124936-B1,0.0,1.0
JP-S4937564-B1,0.0,1.0
JP-S5028083-B1,0.0,1.0
JP-S4924602-B1,0.0,1.0
JP-S481189-Y1,0.0,1.0
JP-S5022386-B1,0.0,1.0
JP-S4743026-Y1,0.0,1.0
JP-S4835106-B1,0.0,1.0
JP-S4836915-B1,0.0,1.0
JP-S5113362-Y1,0.0,1.0
JP-S5014110-B1,0.0,1.0
JP-S4916989-B1,0.0,1.0
JP-S5347956-Y1,0.0,1.0
JP-S4919375-Y1,0.0,1.0
JP-S4734440-Y1,0.0,1.0
JP-S4819773-B1,0.0,1.0
JP-S4943473-Y1,0.0,1.0
JP-S4825540-B1,0.0,1.0
JP-S4821775-B1,0.0,1.0
JP-S4920354-B1,0.0,1.0
JP-S493100-B1,0.0,1.0
JP-S5023112-Y1,0.0,1.0
JP-S4838092-B1,0.0,1.0
JP-S4922756-Y1,0.0,1.0
JP-S4811484-Y1,0.0,1.0
JP-S4822957-B1,0.0,1.0
JP-S4624371-Y1,0.0,1.0
JP-S4811652-Y1,0.0,1.0
JP-S4718085-Y1,0.0,1.0
JP-S513261-Y1,0.0,1.0
JP-S4920433-Y1,0.0,1.0
JP-S4915569-Y1,0.0,1.0
JP-S5220701-B1,0.0,1.0
JP-S4927128-Y1,0.0,1.0
JP-S497285-Y1,0.0,1.0
JP-S4921701-Y1,0.0,1.0
JP-S489263-Y1,0.0,1.0
JP-S4935996-Y1,0.0,1.0
JP-S4928430-Y1,0.0,1.0
JP-S4836596-Y1,0.0,1.0
JP-S5020720-Y1,0.0,1.0
JP-S493862-B1,0.0,1.0
JP-S4522615-Y1,0.0,1.0
JP-S5027144-B1,0.0,1.0
JP-S4520075-Y1,0.0,1.0
